Condition,Session,Responses,Subject,Group
Treatment,17,3193,Z9,Amp_Sal
Treatment,18,2522,Z9,Amp_Sal
Treatment,19,2528,Z9,Amp_Sal
Treatment,20,1433,Z9,Amp_Sal
Treatment,21,241,Z9,Amp_Sal
Extinction,22,721,Z9,Amp_Sal
Extinction,23,608,Z9,Amp_Sal
Extinction,24,401,Z9,Amp_Sal
Extinction,25,202,Z9,Amp_Sal
Extinction,26,217,Z9,Amp_Sal
Extinction,27,194,Z9,Amp_Sal
Extinction,28,108,Z9,Amp_Sal
Extinction,29,119,Z9,Amp_Sal
Extinction,30,49,Z9,Amp_Sal
Extinction,31,75,Z9,Amp_Sal
Reinstatement,32,939,Z9,Amp_Sal
Baseline,1,780,Z11,Amp_Sal
Baseline,2,832,Z11,Amp_Sal
Baseline,3,698,Z11,Amp_Sal
Baseline,4,978,Z11,Amp_Sal
Baseline,5,1238,Z11,Amp_Sal
Baseline,6,935,Z11,Amp_Sal
Baseline,7,890,Z11,Amp_Sal
Baseline,8,1406,Z11,Amp_Sal
Baseline,9,1685,Z11,Amp_Sal
Baseline,10,1636,Z11,Amp_Sal
Baseline,11,1757,Z11,Amp_Sal
Baseline,12,1822,Z11,Amp_Sal
Baseline,13,1876,Z11,Amp_Sal
Baseline,14,2028,Z11,Amp_Sal
Treatment,15,2566,Z11,Amp_Sal
Treatment,16,2087,Z11,Amp_Sal
Treatment,17,850,Z11,Amp_Sal
Treatment,18,96,Z11,Amp_Sal
Treatment,19,109,Z11,Amp_Sal
Treatment,20,203,Z11,Amp_Sal
Treatment,21,82,Z11,Amp_Sal
Extinction,22,554,Z11,Amp_Sal
Extinction,23,377,Z11,Amp_Sal
Extinction,24,286,Z11,Amp_Sal
Extinction,25,156,Z11,Amp_Sal
Extinction,26,95,Z11,Amp_Sal
Extinction,27,44,Z11,Amp_Sal
Extinction,28,31,Z11,Amp_Sal
Extinction,29,72,Z11,Amp_Sal
Extinction,30,50,Z11,Amp_Sal
Extinction,31,55,Z11,Amp_Sal
Reinstatement,32,11,Z11,Amp_Sal
Baseline,1,1215,Z18,Amp_Sal
Baseline,2,1369,Z18,Amp_Sal
Baseline,3,1941,Z18,Amp_Sal
Baseline,4,2200,Z18,Amp_Sal
Baseline,5,1920,Z18,Amp_Sal
Baseline,6,2279,Z18,Amp_Sal
Baseline,7,2678,Z18,Amp_Sal
Baseline,8,2903,Z18,Amp_Sal
Baseline,9,2817,Z18,Amp_Sal
Baseline,10,2793,Z18,Amp_Sal
Baseline,11,3034,Z18,Amp_Sal
Baseline,12,3210,Z18,Amp_Sal
Baseline,13,3340,Z18,Amp_Sal
Baseline,14,3079,Z18,Amp_Sal
Treatment,15,3809,Z18,Amp_Sal
