Subject,Session,Group,Reinf,Condition,Rate
7,6,ABA,Lean,Baseline,88.2
7,7,ABA,Lean,Baseline,86.86667
7,8,ABA,Lean,Baseline,99.06667
7,9,ABA,Lean,Baseline,92
7,10,ABA,Lean,Baseline,78.86667
7,11,ABA,Lean,Baseline,89.4
7,12,ABA,Lean,Baseline,81.06667
7,13,ABA,Lean,Baseline,88.6
7,14,ABA,Lean,Baseline,92.86667
7,15,ABA,Lean,Baseline,88.33334
7,16,ABA,Lean,Baseline,85.53333
7,17,ABA,Lean,Baseline,83.26667
7,18,ABA,Lean,Baseline,80.46667
7,19,ABA,Lean,Baseline,92.8
7,20,ABA,Lean,Baseline,66
7,21,ABA,Lean,Extinction,64.69388
7,22,ABA,Lean,Extinction,45.86666
7,23,ABA,Lean,Extinction,3.6
7,24,ABA,Lean,Extinction,66.33334
7,25,ABA,Lean,Extinction,27.4
7,26,ABA,Lean,Extinction,10.06667
7,27,ABA,Lean,Extinction,14
7,28,ABA,Lean,Extinction,3.133333
7,29,ABA,Lean,Renewal,62.86666
8,1,ABA,Rich,Baseline,90.06667
8,2,ABA,Rich,Baseline,87.8
8,3,ABA,Rich,Baseline,97.46667
8,4,ABA,Rich,Baseline,90.86667
8,5,ABA,Rich,Baseline,91.93333
8,6,ABA,Rich,Baseline,93.66666
8,7,ABA,Rich,Baseline,103.6667
8,8,ABA,Rich,Baseline,105.4667
8,9,ABA,Rich,Baseline,102.4
8,10,ABA,Rich,Baseline,105.8
8,11,ABA,Rich,Baseline,112
8,12,ABA,Rich,Baseline,98.26667
8,13,ABA,Rich,Baseline,97.53333
8,14,ABA,Rich,Baseline,96.8
8,15,ABA,Rich,Baseline,92.66666
8,16,ABA,Rich,Baseline,94.6
8,17,ABA,Rich,Baseline,93
8,18,ABA,Rich,Baseline,99.6
8,19,ABA,Rich,Baseline,106.0667
8,20,ABA,Rich,Baseline,75.33334
8,21,ABA,Rich,Extinction,79.28775
8,22,ABA,Rich,Extinction,60.86666
8,23,ABA,Rich,Extinction,26.46667
8,24,ABA,Rich,Extinction,43.13334
8,25,ABA,Rich,Extinction,18.33333
8,26,ABA,Rich,Extinction,24.4
8,27,ABA,Rich,Extinction,16.4
8,28,ABA,Rich,Extinction,3.066667
8,29,ABA,Rich,Renewal,94.4
8,1,ABA,Lean,Baseline,51.53333
8,2,ABA,Lean,Baseline,46.13334
8,3,ABA,Lean,Baseline,45.2
8,4,ABA,Lean,Baseline,51.66667
8,5,ABA,Lean,Baseline,52.53333
8,6,ABA,Lean,Baseline,38.46667
8,7,ABA,Lean,Baseline,44.13334
8,8,ABA,Lean,Baseline,40.86666
8,9,ABA,Lean,Baseline,44.6
8,10,ABA,Lean,Baseline,46.26667
8,11,ABA,Lean,Baseline,40
8,12,ABA,Lean,Baseline,45.93333
8,13,ABA,Lean,Baseline,41.73333
8,14,ABA,Lean,Baseline,44.73333
8,15,ABA,Lean,Baseline,43.53333
8,16,ABA,Lean,Baseline,55.06667
8,17,ABA,Lean,Baseline,65
8,18,ABA,Lean,Baseline,62.06667
8,19,ABA,Lean,Baseline,57.66667
8,20,ABA,Lean,Baseline,68.73333
8,21,ABA,Lean,Extinction,64.69388
8,22,ABA,Lean,Extinction,19.53333
8,23,ABA,Lean,Extinction,3.733333
8,24,ABA,Lean,Extinction,26.13333
8,25,ABA,Lean,Extinction,14.4
8,26,ABA,Lean,Extinction,4.933333
8,27,ABA,Lean,Extinction,0.2
8,28,ABA,Lean,Extinction,0
8,29,ABA,Lean,Renewal,45.6
9,1,ABC,Rich,Baseline,105
9,2,ABC,Rich,Baseline,102.2667
9,3,ABC,Rich,Baseline,100.0667
9,4,ABC,Rich,Baseline,87.06667
9,5,ABC,Rich,Baseline,102.1333
9,6,ABC,Rich,Baseline,97.33334
9,7,ABC,Rich,Baseline,91.53333
9,8,ABC,Rich,Baseline,88.33334
9,9,ABC,Rich,Baseline,90.13333
9,10,ABC,Rich,Baseline,94.13333
9,11,ABC,Rich,Baseline,90.73333
9,12,ABC,Rich,Baseline,91.6
