Condition,Session,Responses,Subject,Group,Junk Col
Baseline,13,4683,Z9,Amp_Sal,junk334
Baseline,14,4620,Z9,Amp_Sal,junk335
Treatment,15,2894,Z9,Amp_Sal,junk336
Treatment,16,2822,Z9,Amp_Sal,junk337
Treatment,17,3193,Z9,Amp_Sal,junk338
Treatment,18,2522,Z9,Amp_Sal,junk339
Treatment,19,2528,Z9,Amp_Sal,junk340
Treatment,20,1433,Z9,Amp_Sal,junk341
Treatment,21,241,Z9,Amp_Sal,junk342
Extinction,22,721,Z9,Amp_Sal,junk343
Extinction,23,608,Z9,Amp_Sal,junk344
Extinction,24,401,Z9,Amp_Sal,junk345
Extinction,25,202,Z9,Amp_Sal,junk346
Extinction,26,217,Z9,Amp_Sal,junk347
Extinction,27,194,Z9,Amp_Sal,junk348
Extinction,28,108,Z9,Amp_Sal,junk349
Extinction,29,119,Z9,Amp_Sal,junk350
Extinction,30,49,Z9,Amp_Sal,junk351
Extinction,31,75,Z9,Amp_Sal,junk352
Reinstatement,32,939,Z9,Amp_Sal,junk353
Baseline,1,780,Z11,Amp_Sal,junk354
Baseline,2,832,Z11,Amp_Sal,junk355
Baseline,3,698,Z11,Amp_Sal,junk356
Baseline,4,978,Z11,Amp_Sal,junk357
Baseline,5,1238,Z11,Amp_Sal,junk358
Baseline,6,935,Z11,Amp_Sal,junk359
Baseline,7,890,Z11,Amp_Sal,junk360
Baseline,8,1406,Z11,Amp_Sal,junk361
Baseline,9,1685,Z11,Amp_Sal,junk362
Baseline,10,1636,Z11,Amp_Sal,junk363
Baseline,11,1757,Z11,Amp_Sal,junk364
Baseline,12,1822,Z11,Amp_Sal,junk365
Baseline,13,1876,Z11,Amp_Sal,junk366
Baseline,14,2028,Z11,Amp_Sal,junk367
Treatment,15,2566,Z11,Amp_Sal,junk368
Treatment,16,2087,Z11,Amp_Sal,junk369
Treatment,17,850,Z11,Amp_Sal,junk370
Treatment,18,96,Z11,Amp_Sal,junk371
Treatment,19,109,Z11,Amp_Sal,junk372
Treatment,20,203,Z11,Amp_Sal,junk373
Treatment,21,82,Z11,Amp_Sal,junk374
Extinction,22,554,Z11,Amp_Sal,junk375
Extinction,23,377,Z11,Amp_Sal,junk376
Extinction,24,286,Z11,Amp_Sal,junk377
Extinction,25,156,Z11,Amp_Sal,junk378
Extinction,26,95,Z11,Amp_Sal,junk379
Extinction,27,44,Z11,Amp_Sal,junk380
Extinction,28,31,Z11,Amp_Sal,junk381
Extinction,29,72,Z11,Amp_Sal,junk382
Extinction,30,50,Z11,Amp_Sal,junk383
Extinction,31,55,Z11,Amp_Sal,junk384
Reinstatement,32,11,Z11,Amp_Sal,junk385
Baseline,1,1215,Z18,Amp_Sal,junk386
Baseline,2,1369,Z18,Amp_Sal,junk387
Baseline,3,1941,Z18,Amp_Sal,junk388
