Subject,Session,Group,Reinf,Condition,Rate
15,3,ABC,Rich,Baseline,112.2667
15,4,ABC,Rich,Baseline,110.4
15,5,ABC,Rich,Baseline,122.5333
15,6,ABC,Rich,Baseline,112.4
15,7,ABC,Rich,Baseline,106.9333
15,8,ABC,Rich,Baseline,110.3333
15,9,ABC,Rich,Baseline,114.4667
15,10,ABC,Rich,Baseline,96.66666
15,11,ABC,Rich,Baseline,98.86667
15,12,ABC,Rich,Baseline,103
15,13,ABC,Rich,Baseline,103.1333
15,14,ABC,Rich,Baseline,98.66666
15,15,ABC,Rich,Baseline,102.2667
15,16,ABC,Rich,Baseline,104.7333
15,17,ABC,Rich,Baseline,100.0667
15,18,ABC,Rich,Baseline,89.2
15,19,ABC,Rich,Baseline,74.46667
15,20,ABC,Rich,Baseline,95.53333
15,21,ABC,Rich,Extinction,96.99333
15,22,ABC,Rich,Extinction,57.46667
15,23,ABC,Rich,Extinction,42.26667
15,24,ABC,Rich,Extinction,40.46667
15,25,ABC,Rich,Extinction,19.26667
15,26,ABC,Rich,Extinction,18.73333
15,27,ABC,Rich,Extinction,12.26667
15,28,ABC,Rich,Renewal,47.46667
